sample_id	fastq_id_pilot	pilot_read_pairs	current_read_pairs	pilot_minus_current_pairs	pilot_to_current_ratio	log2_pilot_to_current_ratio	pilot_individual_reads	current_individual_reads
01-049	01-049_carpio1	1844859	242556	1602303	7.60590956315243	2.92712078493653	3689718	485112
01-050	01-050_carpio1	1553970	159739	1394231	9.72818159622885	3.28217015986019	3107940	319478
01-051	01-051_carpio1	1425568	189016	1236552	7.54204935031955	2.9149565905788	2851136	378032
01-052	01-052_carpio1	1445659	145202	1300457	9.9561920634702	3.31559406141008	2891318	290404
01-053	01-053_carpio1	1506241	201502	1304739	7.47506724499012	2.90208655771575	3012482	403004
01-054	01-054_carpio1	1454373	208135	1246238	6.98764263578927	2.80480582737917	2908746	416270
01-055	01-055_carpio1	1647136	260102	1387034	6.33265411261736	2.66281028205279	3294272	520204
01-056	01-056_carpio1	937535	141304	796231	6.63487940893393	2.73007024438763	1875070	282608
