processing_batch	libraries	input_pairs	output_pairs	input_bases	output_bases	bases_removed	retained_pairs_pct	bases_retained_pct
current	152	29910278	29910278	17105526248	15968935684	1136590564	100.0000	93.3554
pilot	46	30064539	30064539	15199152924	14056700442	1142452482	100.0000	92.4834
