processing_batch	candidate	libraries	input_pairs	filtered_pairs	filtered_pct_input	retention_min	retention_p10	retention_p25	retention_median	retention_p75	retention_p90	libraries_loss_gt25	libraries_loss_gt50	libraries_loss_gt75	merged_pairs	merged_pct_filtered	nonchimera_pairs	nonchimera_pct_merged	prechimera_asvs	nonchimera_asvs	max_ee
pilot	strict	46	30064539	20918738	69.5794404164987	16.6423456850703	42.7348011601789	72.0038786464761	79.6215163393345	83.9421889993934	84.5946424321905	16	6	2	13689271	65.4402335360766	12508730	91.3761587450493	32039	8225	2,4
pilot	configured_current	46	30064539	21504783	71.528730242629	17.404663136161	44.0779445620121	74.4547677178597	81.1478552422066	85.4343136060924	86.10917724609	13	6	2	13888460	64.5831208805967	12668795	91.2181408161884	32137	8247	3,5
pilot	permissive	46	30064539	21871272	72.7477377916887	17.9260103650412	44.9728488276347	75.1797859483318	82.5100308047064	86.2132351851351	87.1201180559214	11	6	2	14014785	64.0785090140162	12767893	91.1030244131465	31914	8252	4,6
current	strict	152	29910278	12333082	41.2335920114149	35.5670103092784	39.0788850759671	40.2325954697372	41.5636361012151	42.4178663933678	43.2240171440739	152	152	0	8481247	68.7682689533727	7950284	93.7395644767804	22594	7909	2,4
current	configured_current	152	29910278	13130052	43.8981275934647	38.4879725085911	42.0123287287578	43.0631561013727	44.2313671300115	44.9686361189502	45.675885539177	152	152	0	8965010	68.278556703355	8400946	93.708160950183	23159	7986	3,5
current	permissive	152	29910278	13638590	45.5983391394757	41.0652920962199	43.8429975291233	44.7910209880316	45.8820785999492	46.6974654863056	47.2593930302036	152	152	0	9255333	67.8613625015489	8670742	93.6837388778988	23442	8012	4,6
