stage	processing_batch	sample_type	read	module	metric	unit	n_libraries	median	p10	p90	minimum	maximum
raw	current	biopsy	R2	Per sequence quality scores	pct_reads_mean_quality_le_30	percent	130	18.689793	15.994219	24.250011	13.443564	30.455099
raw	current	biopsy	R2	Per tile sequence quality	maximum_tile_mean_deviation	Phred	130	14.261003	14.023686	14.542180	13.909866	14.991897
raw	current	biopsy	R2	Sequence Duplication Levels	deduplicated_reads	percent	130	97.402753	92.543490	98.896776	83.997358	100.000000
raw	current	biopsy	R2	Sequence Duplication Levels	duplicate_reads	percent	130	2.597247	1.103224	7.456510	0.000000	16.002642
raw	current	biopsy	R2	Sequence Duplication Levels	reads_duplication_level_gt_10	percent	130	0.491284	0.239856	1.708751	0.000000	7.694846
raw	current	biopsy	R2	Sequence Length Distribution	maximum_read_length	nt	130	302.000000	302.000000	302.000000	302.000000	302.000000
raw	current	biopsy	R2	Sequence Length Distribution	mean_read_length	nt	130	288.986434	272.095010	298.309767	231.384762	300.458158
raw	current	biopsy	R2	Sequence Length Distribution	median_read_length	nt	130	301.000000	301.000000	301.000000	264.500000	301.000000
raw	current	biopsy	R2	Sequence Length Distribution	minimum_read_length	nt	130	30.000000	30.000000	30.000000	30.000000	30.000000
raw	current	negative_control	R1	Adapter Content	maximum_adapter_content	percent	22	1.946516	1.542961	2.453922	1.183029	3.177920
raw	current	negative_control	R1	Basic Statistics	percent_gc	percent	22	50.000000	50.000000	50.000000	50.000000	51.000000
raw	current	negative_control	R1	Basic Statistics	poor_quality_sequences	reads	22	0.000000	0.000000	0.000000	0.000000	0.000000
raw	current	negative_control	R1	Basic Statistics	total_bases	bases	22	57550000.000000	33670000.000000	71470000.000000	27800000.000000	81600000.000000
raw	current	negative_control	R1	Basic Statistics	total_sequences	reads	22	195938.500000	114592.700000	243195.000000	94303.000000	277457.000000
raw	current	negative_control	R1	Overrepresented sequences	overrepresented_reads	percent	22	24.009396	22.881800	26.791502	22.075337	27.612926
raw	current	negative_control	R1	Overrepresented sequences	top_overrepresented_sequence	percent	22	1.911731	1.681020	2.258076	1.594528	2.471607
raw	current	negative_control	R1	Per base N content	maximum_n_content	percent	22	1.490903	1.339986	1.725941	1.182868	2.737722
raw	current	negative_control	R1	Per base sequence content	maximum_base_composition_range	percent	22	97.142946	96.967540	97.434283	96.775809	97.470052
raw	current	negative_control	R1	Per base sequence quality	median_mean_base_quality	Phred	22	37.823334	37.716926	37.897609	37.695126	37.965955
raw	current	negative_control	R1	Per base sequence quality	minimum_lower_quartile_base_quality	Phred	22	12.000000	12.000000	12.000000	12.000000	12.000000
raw	current	negative_control	R1	Per base sequence quality	minimum_mean_base_quality	Phred	22	24.858432	24.527925	25.081021	24.225131	25.146273
raw	current	negative_control	R1	Per sequence GC content	gc_content_p10	percent	22	42.000000	40.000000	42.000000	39.000000	43.000000
raw	current	negative_control	R1	Per sequence GC content	gc_content_p90	percent	22	56.000000	56.000000	56.000000	56.000000	57.000000
raw	current	negative_control	R1	Per sequence GC content	mean_gc_content	percent	22	49.677336	49.077618	50.063524	47.433236	50.471604
raw	current	negative_control	R1	Per sequence quality scores	mean_sequence_quality	Phred	22	36.856937	36.682373	36.913868	36.289187	36.978817
raw	current	negative_control	R1	Per sequence quality scores	pct_reads_mean_quality_le_20	percent	22	1.354658	1.190277	1.539536	1.043861	2.718994
raw	current	negative_control	R1	Per sequence quality scores	pct_reads_mean_quality_le_30	percent	22	7.525455	7.377538	8.105058	7.041731	9.088089
raw	current	negative_control	R1	Per tile sequence quality	maximum_tile_mean_deviation	Phred	22	30.233866	29.904159	30.557960	29.498431	30.808542
raw	current	negative_control	R1	Sequence Duplication Levels	deduplicated_reads	percent	22	33.032480	30.581098	37.744514	29.524575	40.476295
raw	current	negative_control	R1	Sequence Duplication Levels	duplicate_reads	percent	22	66.967521	62.255486	69.418902	59.523705	70.475425
raw	current	negative_control	R1	Sequence Duplication Levels	reads_duplication_level_gt_10	percent	22	54.180083	48.000520	56.988272	46.216658	58.726938
raw	current	negative_control	R1	Sequence Length Distribution	maximum_read_length	nt	22	302.000000	302.000000	302.000000	302.000000	302.000000
raw	current	negative_control	R1	Sequence Length Distribution	mean_read_length	nt	22	293.832237	292.855603	294.997023	287.703342	295.578412
raw	current	negative_control	R1	Sequence Length Distribution	median_read_length	nt	22	301.000000	301.000000	301.000000	301.000000	301.000000
raw	current	negative_control	R1	Sequence Length Distribution	minimum_read_length	nt	22	30.000000	30.000000	30.000000	30.000000	30.000000
raw	current	negative_control	R2	Adapter Content	maximum_adapter_content	percent	22	0.370424	0.295628	0.453218	0.268090	0.532562
raw	current	negative_control	R2	Basic Statistics	percent_gc	percent	22	51.000000	51.000000	51.000000	51.000000	51.000000
raw	current	negative_control	R2	Basic Statistics	poor_quality_sequences	reads	22	0.000000	0.000000	0.000000	0.000000	0.000000
raw	current	negative_control	R2	Basic Statistics	total_bases	bases	22	57500000.000000	33660000.000000	71370000.000000	27800000.000000	81500000.000000
raw	current	negative_control	R2	Basic Statistics	total_sequences	reads	22	195938.500000	114592.700000	243195.000000	94303.000000	277457.000000
raw	current	negative_control	R2	Overrepresented sequences	overrepresented_reads	percent	22	0.447055	0.330202	0.679711	0.120647	1.676694
raw	current	negative_control	R2	Overrepresented sequences	top_overrepresented_sequence	percent	22	0.447055	0.330202	0.679711	0.120647	1.676694
raw	current	negative_control	R2	Per base N content	maximum_n_content	percent	22	50.570274	50.026321	50.994671	49.819819	51.298048
raw	current	negative_control	R2	Per base sequence content	maximum_base_composition_range	percent	22	63.315399	61.410920	67.190145	61.133174	69.219753
raw	current	negative_control	R2	Per base sequence quality	median_mean_base_quality	Phred	22	35.087539	34.878113	35.339091	34.805572	35.383384
raw	current	negative_control	R2	Per base sequence quality	minimum_lower_quartile_base_quality	Phred	22	2.000000	2.000000	2.000000	2.000000	2.000000
raw	current	negative_control	R2	Per base sequence quality	minimum_mean_base_quality	Phred	22	9.396498	9.332743	9.517297	9.309036	9.623933
raw	current	negative_control	R2	Per sequence GC content	gc_content_p10	percent	22	39.000000	38.000000	40.000000	37.000000	40.000000
raw	current	negative_control	R2	Per sequence GC content	gc_content_p90	percent	22	56.000000	56.000000	56.000000	56.000000	57.000000
raw	current	negative_control	R2	Per sequence GC content	mean_gc_content	percent	22	49.505542	48.831242	49.966946	47.202405	50.144576
raw	current	negative_control	R2	Per sequence quality scores	mean_sequence_quality	Phred	22	33.332784	33.021445	33.556612	32.689089	33.575452
raw	current	negative_control	R2	Per sequence quality scores	pct_reads_mean_quality_le_20	percent	22	3.474327	3.193700	3.844424	3.057701	5.068706
raw	current	negative_control	R2	Per sequence quality scores	pct_reads_mean_quality_le_30	percent	22	18.030186	16.758581	19.746117	16.436187	20.542277
raw	current	negative_control	R2	Per tile sequence quality	maximum_tile_mean_deviation	Phred	22	14.150834	13.949051	14.545574	13.898842	14.718894
raw	current	negative_control	R2	Sequence Duplication Levels	deduplicated_reads	percent	22	96.372284	94.428809	98.297217	93.483093	98.475698
raw	current	negative_control	R2	Sequence Duplication Levels	duplicate_reads	percent	22	3.627716	1.702783	5.571191	1.524302	6.516907
raw	current	negative_control	R2	Sequence Duplication Levels	reads_duplication_level_gt_10	percent	22	0.998290	0.706149	1.677124	0.657944	3.106504
raw	current	negative_control	R2	Sequence Length Distribution	maximum_read_length	nt	22	302.000000	302.000000	302.000000	302.000000	302.000000
raw	current	negative_control	R2	Sequence Length Distribution	mean_read_length	nt	22	294.302179	293.330914	295.387683	288.236109	295.971152
raw	current	negative_control	R2	Sequence Length Distribution	median_read_length	nt	22	301.000000	301.000000	301.000000	301.000000	301.000000
raw	current	negative_control	R2	Sequence Length Distribution	minimum_read_length	nt	22	30.000000	30.000000	30.000000	30.000000	30.000000
raw	pilot	biopsy	R1	Adapter Content	maximum_adapter_content	percent	8	7.084515	2.716697	12.494904	1.119484	15.068024
raw	pilot	biopsy	R1	Basic Statistics	percent_gc	percent	8	52.000000	51.000000	52.300000	51.000000	53.000000
raw	pilot	biopsy	R1	Basic Statistics	poor_quality_sequences	reads	8	0.000000	0.000000	0.000000	0.000000	0.000000
raw	pilot	biopsy	R1	Basic Statistics	total_bases	bases	8	406150000.000000	332400000.000000	436620000.000000	252600000.000000	442500000.000000
raw	pilot	biopsy	R1	Basic Statistics	total_sequences	reads	8	1480307.000000	1279158.100000	1706452.900000	937535.000000	1844859.000000
raw	pilot	biopsy	R1	Overrepresented sequences	overrepresented_reads	percent	8	26.051834	19.086356	39.092846	17.230802	46.437841
raw	pilot	biopsy	R1	Overrepresented sequences	top_overrepresented_sequence	percent	8	2.181128	1.684020	2.910366	0.975684	3.175226
raw	pilot	biopsy	R1	Per base N content	maximum_n_content	percent	8	2.841913	2.805962	2.881742	2.781547	2.894096
raw	pilot	biopsy	R1	Per base sequence content	maximum_base_composition_range	percent	8	99.244222	99.186874	99.352135	99.161040	99.367439
raw	pilot	biopsy	R1	Per base sequence quality	median_mean_base_quality	Phred	8	37.626460	37.057103	38.200613	37.020196	38.262693
raw	pilot	biopsy	R1	Per base sequence quality	minimum_lower_quartile_base_quality	Phred	8	12.000000	12.000000	12.000000	12.000000	12.000000
raw	pilot	biopsy	R1	Per base sequence quality	minimum_mean_base_quality	Phred	8	22.678793	21.508871	23.445493	21.245752	23.879897
raw	pilot	biopsy	R1	Per sequence GC content	gc_content_p10	percent	8	45.000000	42.100000	46.000000	40.000000	46.000000
raw	pilot	biopsy	R1	Per sequence GC content	gc_content_p90	percent	8	61.500000	58.700000	63.000000	58.000000	63.000000
raw	pilot	biopsy	R1	Per sequence GC content	mean_gc_content	percent	8	52.345705	51.620304	53.482010	51.561139	54.009772
raw	pilot	biopsy	R1	Per sequence quality scores	mean_sequence_quality	Phred	8	36.943626	36.408528	37.496252	36.348445	37.563109
raw	pilot	biopsy	R1	Per sequence quality scores	pct_reads_mean_quality_le_20	percent	8	1.063080	0.629855	1.507282	0.578296	1.543424
raw	pilot	biopsy	R1	Per sequence quality scores	pct_reads_mean_quality_le_30	percent	8	6.314977	4.664587	7.929220	4.483336	8.725008
raw	pilot	biopsy	R1	Per tile sequence quality	maximum_tile_mean_deviation	Phred	8	11.545236	11.438134	11.605701	11.423773	11.643143
raw	pilot	biopsy	R1	Sequence Duplication Levels	deduplicated_reads	percent	8	21.890739	14.078663	25.365624	10.956972	28.785982
raw	pilot	biopsy	R1	Sequence Duplication Levels	duplicate_reads	percent	8	78.109261	74.634376	85.921337	71.214018	89.043028
raw	pilot	biopsy	R1	Sequence Duplication Levels	reads_duplication_level_gt_10	percent	8	68.428921	63.533026	80.009911	60.017600	84.038046
raw	pilot	biopsy	R1	Sequence Length Distribution	maximum_read_length	nt	8	302.000000	302.000000	302.000000	302.000000	302.000000
raw	pilot	biopsy	R1	Sequence Length Distribution	mean_read_length	nt	8	272.611717	235.497089	282.493894	235.067337	282.951606
raw	pilot	biopsy	R1	Sequence Length Distribution	median_read_length	nt	8	301.000000	294.500000	301.000000	294.500000	301.000000
raw	pilot	biopsy	R1	Sequence Length Distribution	minimum_read_length	nt	8	30.000000	30.000000	30.000000	30.000000	30.000000
raw	pilot	biopsy	R2	Adapter Content	maximum_adapter_content	percent	8	1.871210	1.138712	2.970148	1.035236	3.148262
raw	pilot	biopsy	R2	Basic Statistics	percent_gc	percent	8	52.000000	50.700000	52.300000	50.000000	53.000000
raw	pilot	biopsy	R2	Basic Statistics	poor_quality_sequences	reads	8	0.000000	0.000000	0.000000	0.000000	0.000000
raw	pilot	biopsy	R2	Basic Statistics	total_bases	bases	8	406250000.000000	333780000.000000	438030000.000000	253000000.000000	443000000.000000
raw	pilot	biopsy	R2	Basic Statistics	total_sequences	reads	8	1480307.000000	1279158.100000	1706452.900000	937535.000000	1844859.000000
raw	pilot	biopsy	R2	Overrepresented sequences	overrepresented_reads	percent	8	3.845921	2.531198	5.311376	1.221882	7.827223
raw	pilot	biopsy	R2	Overrepresented sequences	top_overrepresented_sequence	percent	8	0.645994	0.349563	0.984893	0.280239	1.073666
raw	pilot	biopsy	R2	Per base N content	maximum_n_content	percent	8	1.931674	1.907131	1.956071	1.903024	1.963691
raw	pilot	biopsy	R2	Per base sequence content	maximum_base_composition_range	percent	8	98.678741	98.458079	99.274549	98.361485	99.314189
raw	pilot	biopsy	R2	Per base sequence quality	median_mean_base_quality	Phred	8	35.891925	35.790624	36.250616	35.660355	36.641429
raw	pilot	biopsy	R2	Per base sequence quality	minimum_lower_quartile_base_quality	Phred	8	12.000000	12.000000	12.000000	12.000000	12.000000
raw	pilot	biopsy	R2	Per base sequence quality	minimum_mean_base_quality	Phred	8	19.178434	19.090261	19.377591	19.079222	19.625446
raw	pilot	biopsy	R2	Per sequence GC content	gc_content_p10	percent	8	42.500000	38.800000	47.300000	36.000000	48.000000
raw	pilot	biopsy	R2	Per sequence GC content	gc_content_p90	percent	8	60.500000	58.700000	61.600000	58.000000	63.000000
raw	pilot	biopsy	R2	Per sequence GC content	mean_gc_content	percent	8	52.234225	50.887230	52.804060	50.524934	53.197279
raw	pilot	biopsy	R2	Per sequence quality scores	mean_sequence_quality	Phred	8	34.418589	34.170368	35.079263	34.016806	35.428725
raw	pilot	biopsy	R2	Per sequence quality scores	pct_reads_mean_quality_le_20	percent	8	2.428905	1.657280	2.937483	1.359107	3.003408
raw	pilot	biopsy	R2	Per sequence quality scores	pct_reads_mean_quality_le_30	percent	8	13.334842	10.392992	14.486615	7.488103	15.276870
raw	pilot	biopsy	R2	Per tile sequence quality	maximum_tile_mean_deviation	Phred	8	7.140492	7.046603	7.303758	6.983222	7.463628
raw	pilot	biopsy	R2	Sequence Duplication Levels	deduplicated_reads	percent	8	50.735321	32.043014	57.107764	26.912673	58.667040
raw	pilot	biopsy	R2	Sequence Duplication Levels	duplicate_reads	percent	8	49.264679	42.892236	67.956986	41.332960	73.087327
raw	pilot	biopsy	R2	Sequence Duplication Levels	reads_duplication_level_gt_10	percent	8	39.024057	31.095151	58.675211	30.591715	64.450649
raw	pilot	biopsy	R2	Sequence Length Distribution	maximum_read_length	nt	8	302.000000	302.000000	302.000000	302.000000	302.000000
raw	pilot	biopsy	R2	Sequence Length Distribution	mean_read_length	nt	8	273.376331	236.896038	283.528845	236.414728	284.032532
