processing_batch	input_pairs	output_pairs	r1_primer_matched_reads	r2_primer_matched_reads	r1_3prime_primer_matched_reads	r2_3prime_primer_matched_reads	r1_no_primer_match_reads	r2_no_primer_match_reads	bases_removed	libraries	retained_pairs_pct	r1_primer_matched_pct	r2_primer_matched_pct	r1_3prime_primer_matched_pct	r2_3prime_primer_matched_pct
current	29910278	29910278	21532192	2250031	3885204	4898223	8378086	27660247	578156990	152	100.0000	71.9893	7.5226	12.9895	16.3764
pilot	30064539	30064539	17366124	5806950	2391997	2110851	12698415	24257589	503286462	46	100.0000	57.7628	19.3149	7.9562	7.0211
