processing_batch	input_pairs	output_pairs	r1_primer_matched_reads	r2_primer_matched_reads	r1_no_primer_match_reads	r2_no_primer_match_reads	bases_removed	libraries	retained_pairs_pct	r1_primer_matched_pct	r2_primer_matched_pct
current	29910278	29910278	21545142	2252941	8365136	27657337	413579175	152	100.0000	72.0326	7.5323
pilot	30064539	30064539	17393832	5823424	12670707	24241115	417987048	46	100.0000	57.8550	19.3697
